SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
SUBCAPCITY,BE,INTERNATIONAL CONST LTD,H
SUNFLAG,EQ,SUNFLAG IRON AND STEEL CO,H
SUPREMEENG,BE,SUPREME ENGINEERING LTD,H
SUPREMEINF,EQ,SUPREME INFRA. LTD.,H
SURANAT&P,EQ,SURANA TELECOM AND POW LT,H
SURYAROSNI,EQ,SURYA ROSHNI LTD,H
SWARAJ,SM,SWARAJ SUITING LIMITED,H
TECHIN,EQ,TECHINDIA NIRMAN LIMITED,H
TFL,EQ,TRANSWARRANTY FIN. LTD.,H
TGBHOTELS,BE,TGB BANQUETS&HOTELS LTD,H
TI,EQ,TILAKNAGAR INDUSTRIES LTD,H
TIMESGTY,EQ,TIMES GUARANTY LIMITED,H
TIPSINDLTD,BE,TIPS INDUSTRIES LTD.,H
TNTELE,BE,TAMILNADU TELECOMMUNICATI,H
TRF,EQ,TRF LIMITED,H
UNIDT,EQ,UNITED DRILLING TOOLS LTD,H
UNITECH,BZ,UNITECH LIMITED,H
UNITEDPOLY,EQ,UNITED POLYFAB GUJ. LTD.,H
UTTAMSUGAR,EQ,UTTAM SUGAR MILLS LTD.,H
VARDMNPOLY,EQ,VARDHMAN POLYTEX LTD.,H
VCL,BE,VAXTEX COTFAB LIMITED,H
VIKASECO,EQ,VIKAS ECOTECH LIMITED,H
VIKASLIFE,EQ,VIKAS LIFECARE LIMITED,H
VISESHINFO,EQ,VISESH INFOTECNICS LTD,H
WELCORP,EQ,WELSPUN CORP LIMITED,H
XPROINDIA,BE,XPRO INDIA LIMITED,H
ZEELEARN,EQ,ZEE LEARN LIMITED,H
ZEEMEDIA,EQ,ZEE MEDIA CORPORATION LTD,H
ZENITHSTL,EQ,ZENITH STEEL PIP IND LTD,H
AAKASH,EQ,AAKASH EXPLORATION SER L,L
ADROITINFO,BE,ADROIT INFOTECH LIMITED,L
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,L
AJRINFRA,BE,AJR INFRA & TOLLING LTD,L
AMJUMBO,SM,A AND M JUMBO BAGS LTD,L
ANTGRAPHIC,BE,ANTARCTICA LTD,L
AVG,SM,AVG LOGISTICS LIMITED,L
AVROIND,BE,AVRO INDIA LIMITED,L
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,L
BANG,EQ,BANG OVERSEAS LTD.,L
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,L
BCG,EQ,BRIGHTCOM GROUP LIMITED,L
BIRLATYRE,EQ,BIRLA TYRES LIMITED,L
CCCL,EQ,CONS. CONST. CONSORT LTD,L
CLEDUCATE,EQ,CL EDUCATE LIMITED,L
CONTI,SM,CONTINENTAL SEED CHEM LTD,L
CYBERMEDIA,BE,CYBER MEDIA (INDIA) LTD.,L
DHARSUGAR,EQ,DHARANI SUGARS & CHEMICAL,L
DNAMEDIA,EQ,DILIGENT MEDIA CORP LTD.,L
EASUNREYRL,BZ,EASUN REYROLLE LTD,L
ESSEN-RE,BE,INTEGRA ESSENTIA LIMITED,L
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,L
FRETAIL,EQ,FUTURE RETAIL LIMITED,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GODHA,BE,GODHA CABCON INSULAT LTD,L
GTLINFRA,EQ,GTL INFRA.LTD,L
HARDWYN,BE,HARDWYN INDIA LIMITED,L
HBSL,EQ,HB STOCKHOLDINGS LIMITED,L
HECPROJECT,EQ,HEC INFRA PROJECTS LTD,L
HILTON,BE,HILTON METAL FORGING LTD,L
IMAGICAA,EQ,IMAGICAAWORLD ENT LTD,L
INFOMEDIA,EQ,INFOMEDIA PRESS LIMITED,L
JBFIND,EQ,JBF INDUSTRIES LTD,L
KBCGLOBAL,EQ,KBC GLOBAL LIMITED,L
KHAITANLTD,BE,KHAITAN (INDIA)LTD.,L
KHANDSE,BE,KHANDWALA SECURITIES LTD,L
KRITIKA,EQ,KRITIKA WIRES LIMITED,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
LCCINFOTEC,EQ,LCC INFOTECH LTD,L
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,L
LYKALABS,EQ,LYKA LABS LTD,L
MELSTAR,BZ,MELSTAR INFORMATION TECH,L
MERCATOR,EQ,MERCATOR LIMITED,L
MITCON,EQ,MITCON CON & ENG SER LTD,L
NAGREEKCAP,BE,NAGREEKA CAP & INFR.LTD,L
NATNLSTEEL,BE,NATIONAL STEEL & AGRO IND,L
NILASPACES,BE,NILA SPACES LIMITED,L
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,L
PANSARI,BE,PANSARI DEVELOPERS LTD,L
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,L
PVP,BE,PVP VENTURES LIMITED,L
RADAAN,BE,RADAAN MEDIAWORKS (I) LTD,L
RMCL,BZ,RADHA MADHAV CO. LTD.,L
ROLLT,EQ,ROLLATAINERS LIMITED,L
ROLTA,BE,ROLTA INDIA - DEP SETT,L
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,L
SABTN,BE,SRI ADHIKARI BROS.,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SELMC,BE,SEL MANUFACTURING CO LTD,L
SHYAMTEL,BE,SHYAM TELECOM LIMITED,L
SOFTTECH,BE,SOFTTECH ENGINEERS LTD,L
SONUINFRA,ST,SONU INFRATECH LIMITED,L
SPTL,BE,SINTEX PLASTICS TECH LTD,L
SREINFRA,EQ,SREI INFRASTRUCTURE FINAN,L
SUBCAPCITY,BE,INTERNATIONAL CONST LTD,L
SUMEETINDS,EQ,SUMEET IND LIMITED,L
SUPERSPIN,BE,SUPER SPINNING MILLS LTD,L
SUPREMEENG,BE,SUPREME ENGINEERING LTD,L
TEMBO,EQ,TEMBO GLOBAL IND LTD,L
TFL,EQ,TRANSWARRANTY FIN. LTD.,L
TGBHOTELS,BE,TGB BANQUETS&HOTELS LTD,L
UNITEDPOLY,EQ,UNITED POLYFAB GUJ. LTD.,L
UTTAMSTL,EQ,UTTAM GALVA STEELS LTD,L
UWCSL,SM,ULTRA WIRING CONN SYS LTD,L
VERANDA,EQ,VERANDA LEARNING SOL LTD,L
VIJIFIN,EQ,VIJI FINANCE LIMITED,L
VISESHINFO,EQ,VISESH INFOTECNICS LTD,L
WALPAR,SM,WALPAR NUTRITIONS LIMITED,L
