MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N6,HUDCO,BOND 7.03% PA TAX FREE S1,      1021.15,      1184.20,      1184.20,      1184.20,      1184.20,                     1184.20,1, ,1,      1544.90,      1018.60
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1011.11,      1012.00,      1016.00,      1010.00,      1016.00,                   131464.00,130,XI,3,      1120.00,       999.99
N,N6,IIHFL,UNSEC RE NCD 0% SR.III,      1000.00,      1000.00,      1006.84,      1000.00,      1006.84,                   296227.23,295, ,8,      1025.00,       802.40
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      6725.78,      6725.00,      6839.99,      6725.00,      6803.28,                   149614.99,22, ,5,      7575.00,      6575.00
N,N6,NHBTF2023,NHB 8.93 NCD TR II SR 2 B,      6201.00,      6151.00,      6151.00,      6040.00,      6040.00,                   121021.50,20, ,3,      6771.00,      5392.99
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1345.00,      1331.15,      1331.15,      1331.01,      1331.01,                    18635.54,14, ,2,      1490.00,      1325.90
N,N6,PFC,8.43% TAX FREE NCD,      1080.01,      1076.12,      1076.12,      1076.12,      1076.12,                    21522.40,20, ,1,      1339.99,      1060.01
N,N6,RECLTD,BOND 8.46% TAX FREE S2A,      1214.00,      1192.11,      1192.11,      1185.00,      1189.24,                  1546021.50,1300, ,6,      1480.00,      1185.00
N,N6,RHFL,SEC RED NCD 9.15% SR III,       320.71,       317.00,       335.00,       316.50,       317.12,                   215526.60,660, ,13,       399.28,       165.01
N,N7,IBUCCREDIT,SERENCD8.66%SRIVCIII&IV,       960.00,       980.00,       980.00,       980.00,       980.00,                    10780.00,11, ,2,      1000.00,       765.00
N,N7,IIHFL,SEC RE NCD 8.25% SR.I,       976.00,       974.00,       974.00,       974.00,       974.00,                    48700.00,50, ,1,       995.00,       809.20
N,N7,IREDA,7.74% TAX FREE NCD,      1185.00,      1193.89,      1193.89,      1193.89,      1193.89,                     1193.89,1, ,1,      1288.90,      1070.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.11,        13.14,        13.15,        13.10,        13.13,                  1030225.22,78533, ,83,        16.80,        12.75
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1285.00,      1285.00,      1285.00,      1285.00,      1285.00,                   128500.00,100, ,2,      1300.00,      1042.40
N,N8,HUDCO,7.64% TAX FREETRI SR2B,      1170.00,      1198.80,      1198.90,      1198.80,      1198.85,                     2397.70,2, ,2,      1279.70,      1160.00
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       972.00,       975.00,       975.00,       965.00,       965.00,                    12645.00,13, ,3,      1020.00,       802.20
N,N8,NHAI,TAX FREE7.39% SR.IB,      1106.65,      1104.64,      1106.65,      1104.64,      1106.27,                   254197.70,230, ,4,      1200.00,      1065.40
N,N8,PFC,8.92% TAX FREE NCD,      1352.50,      1341.51,      1348.00,      1340.00,      1348.00,                   670973.81,500, ,11,      1547.00,      1321.15
N,N8,RECLTD,BOND 8.26% TAX FREE S1B,      1076.00,      1099.99,      1099.99,      1099.99,      1099.99,                     1099.99,1, ,1,      1342.00,      1052.75
N,N8,RHFL,UNS RED NCD 9.40% SR. IV,       219.99,       202.01,       228.70,       202.01,       220.51,                    55109.66,253, ,12,       300.00,        90.00
N,N9,IIHFL,SEC RE NCD 8.20% SR.III,       922.00,       922.10,       944.80,       922.10,       944.07,                   567400.00,601, ,13,       992.00,       835.00
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1065.10,      1070.00,      1070.10,      1070.00,      1070.10,                   112350.50,105, ,2,      1398.99,      1055.00
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1215.00,      1220.00,      1220.00,      1220.00,      1220.00,                   252540.00,207, ,3,      1329.90,      1200.00
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       906.85,       907.60,       907.60,       907.20,       907.21,                   169687.00,187, ,5,      1044.80,       801.05
N,NA,IIFL,SEC RED NCD SR. III,      1282.01,      1287.65,      1288.50,      1286.00,      1288.35,                   150606.10,117, ,9,      1495.00,      1101.10
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1205.00,      1214.99,      1215.00,      1214.99,      1214.99,                   123929.00,102, ,4,      1338.00,      1150.50
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1176.17,      1185.00,      1185.00,      1168.00,      1170.34,                  1029629.01,879, ,13,      1300.00,      1140.00
N,NA,TATACAPHSG,SEC RED NCD 8.40% SR.V,      1100.00,      1100.00,      1100.00,      1100.00,      1100.00,                    77000.00,70, ,3,      1219.00,      1003.25
N,NC,IIHFL,SEC RE NCD 8.43% SR.VI,       917.00,       916.90,       917.00,       916.90,       917.00,                   441993.90,482, ,3,       988.00,       817.00
N,NC,L&TFINANCE,SERENCD 9.25% SR.III OPII,      1051.99,      1052.00,      1052.50,      1052.00,      1052.50,                     2104.50,2, ,2,      1299.99,       975.20
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1232.00,      1247.99,      1247.99,      1229.99,      1229.99,                  1233547.98,1002, ,19,      1482.90,      1226.50
N,ND,IBUCCREDIT,SERENCD9.20%SRVIICIII&IV,       919.00,       916.80,       916.80,       916.80,       916.80,                     9168.00,10, ,2,      1095.00,       840.20
N,ND,IRFC,BOND 8.44% PA TF TII-SIB,      1100.00,      1050.60,      1050.60,      1050.60,      1050.60,                    10506.00,10, ,1,      1231.00,      1050.60
N,ND,NHAI,TAX FREE 7.39% SR. IIA,      1183.50,      1159.01,      1172.00,      1159.01,      1161.09,                  1957186.48,1686, ,6,      1799.00,      1159.01
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1276.84,      1270.00,      1270.00,      1270.00,      1270.00,                     1270.00,1, ,1,      1390.00,      1240.00
