MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       732.80,       749.95,       772.80,       745.10,       767.55,               4138453691.15,5434279,Y, ,102484,       924.65,       638.10
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      3046.90,      3080.00,      3125.00,      3070.00,      3109.95,               2421613908.45,778957,Y, ,57353,      3590.00,      2599.35
N,EQ,AXISBANK,AXIS BANK LIMITED,       650.20,       659.75,       675.75,       658.00,       673.10,               6497229078.35,9708672,Y, ,136254,       866.90,       630.05
N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      3698.55,      3760.00,      3849.00,      3735.00,      3787.80,               1509502593.35,396832,Y, ,48718,      4347.00,      3027.05
N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,     12413.85,     12639.00,     12699.00,     12431.65,     12561.70,               4065084951.00,323330,Y, ,52232,     19325.00,     10942.65
N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      5707.00,      5840.00,      5841.95,      5712.00,      5769.60,               6342120398.40,1098610,Y, ,90935,      8050.00,      5315.05
N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       674.25,       688.50,       691.50,       683.00,       687.90,               3831558517.70,5577407,Y, ,138276,       781.80,       518.70
N,EQ,BPCL,BHARAT PETROLEUM CORP  LT,       326.65,       332.00,       334.85,       328.00,       332.80,               1064245322.65,3196697,Y, ,46816,       503.00,       324.00
N,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,      3332.05,      3360.00,      3463.80,      3352.00,      3450.25,               1800860731.90,525530,Y, ,61746,      4153.00,      3050.00
N,EQ,CIPLA,CIPLA LTD,       938.00,       950.00,       982.60,       939.00,       978.40,               2525106057.30,2594816,Y, ,76007,      1083.00,       850.00
N,EQ,COALINDIA,COAL INDIA LTD,       181.20,       184.50,       186.85,       183.55,       185.95,               1181253559.95,6365038,Y, ,49827,       209.00,       132.75
N,EQ,DIVISLAB,DIVI S LABORATORIES LTD,      4199.20,      4260.00,      4325.00,      4220.00,      4304.80,               1698100412.65,396121,Y, ,55400,      5425.10,      3788.95
N,EQ,DRREDDY,DR. REDDY S LABORATORIES,      3929.45,      3975.00,      4299.10,      3975.00,      4249.10,              10430283351.45,2480315,Y, ,161991,      5614.60,      3654.00
N,EQ,EICHERMOT,EICHER MOTORS LTD,      2650.50,      2693.95,      2720.00,      2652.15,      2707.80,               1850990725.35,687007,Y, ,43900,      2994.00,      2159.55
N,EQ,GRASIM,GRASIM INDUSTRIES LTD,      1457.80,      1472.00,      1522.00,      1468.25,      1488.35,                961796167.20,642521,Y, ,31784,      1929.80,      1350.60
N,EQ,HCLTECH,HCL TECHNOLOGIES LTD,      1009.40,      1029.00,      1034.50,      1016.80,      1028.85,               2060316713.85,2005622,Y, ,81665,      1377.75,       910.10
N,EQ,HDFC,HDFC LTD,      2136.30,      2165.00,      2212.00,      2152.30,      2201.60,               8661459537.80,3954167,Y, ,160680,      3021.10,      2046.00
N,EQ,HDFCBANK,HDFC BANK LTD,      1287.05,      1303.00,      1324.20,      1292.35,      1320.95,               9130982889.25,6959675,Y, ,168094,      1725.00,      1278.30
N,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,       528.70,       534.00,       547.35,       532.00,       544.70,               1413957541.80,2607708,Y, ,84104,       775.65,       497.05
N,EQ,HEROMOTOCO,HERO MOTOCORP LIMITED,      2515.50,      2545.00,      2613.40,      2545.00,      2590.15,               1945747020.50,751633,Y, ,43778,      3090.00,      2146.85
N,EQ,HINDALCO,HINDALCO  INDUSTRIES  LTD,       417.00,       432.00,       435.00,       421.05,       429.10,               4151105765.40,9703961,Y, ,125338,       636.00,       359.80
N,EQ,HINDUNILVR,HINDUSTAN UNILEVER LTD.,      2264.55,      2290.00,      2348.00,      2282.70,      2325.95,               6055678265.10,2599505,Y, ,136745,      2859.30,      1901.55
N,EQ,ICICIBANK,ICICI BANK LTD.,       690.30,       694.80,       711.90,       693.70,       709.55,               8250382525.50,11695528,Y, ,166487,       867.00,       601.20
