SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,GMBREW,GM Breweries Ltd., ,18/05/2022,24/05/2022,13/05/2022, , ,AGM/DIV - RS 5 PR SH     
EQ,HDFC,HDFC Ltd.,01/06/2022, , ,31/05/2022, , ,DIV - RS 30 PER SH       
EQ,GHCL,GHCL Limited,23/06/2022, , ,22/06/2022, , ,AGM/DIV-RS10/SPLDIV-RS 5 
EQ,ASIANPAINT,Asian Paints Limited,10/06/2022, , ,09/06/2022, , ,DIV - RS 15.50 PER SH    
EQ,SBIN,State Bank of India, ,27/05/2022,31/05/2022,25/05/2022, , ,DIV - RS 7.10 PER SH     
EQ,VOLTAS,Voltas Ltd., ,11/06/2022,24/06/2022,09/06/2022, , ,AGM/DIV - RS 5.50 PER SH 
EQ,VISAKAIND,Visaka Industries Ltd., ,30/05/2022,03/06/2022,26/05/2022, , ,AGM/DIV - RS 8 PER SH    
EQ,SRTRANSFIN,Shriram Trans Fin Co. Ltd, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,BOMDYEING,Bombay Dyeing & Mfg Co., ,23/06/2022,29/06/2022,21/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,TIPSINDLTD,Tips Industries Limited,21/05/2022, , ,19/05/2022, , ,DEMERGER                 
EQ,HAVELLS,Havells India Limited, ,16/06/2022,21/06/2022,14/06/2022, , ,AGM/DIV - RS 4.50 PER SH 
EQ,DWARKESH,Dwarikesh Sugar Industrie, ,24/06/2022,30/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,TRENT,Trent Ltd.,23/05/2022, , ,20/05/2022, , ,DIV- RS 1.1 PER SHARE    
EQ,PNB,Punjab National Bank, ,24/06/2022,30/06/2022,22/06/2022, , ,AGM/DIV - RS 0.64 PER SH 
EQ,TCS,Tata Consultancy Serv Ltd,26/05/2022, , ,25/05/2022, , ,DIV - RS 22 PER SH       
EQ,TIMESGTY,Times Guaranty Limited, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,ASAL,Automotive Stampings and, ,03/06/2022,09/06/2022,01/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,CANBK,Canara Bank,16/06/2022, , ,15/06/2022, , ,DIV - RS 6.5 PER SH      
EQ,CANBK,Canara Bank, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,WELSPUNIND,Welspun India Limited, ,27/06/2022,28/06/2022,23/06/2022, , ,AGM/DIV - RS 0.15 PER SH 
EQ,SKFINDIA,SKF India Limited,29/06/2022, , ,28/06/2022, , ,AGM/DIV - RS 14.50 PR SH 
EQ,KANSAINER,Kansai Nerolac Paints Ltd, ,10/06/2022,23/06/2022,08/06/2022, , ,AGM/DIV-RE 1 PER SH      
EQ,TATASTEEL,Tata Steel Limited, ,17/06/2022,28/06/2022,15/06/2022, , ,AGM/DIV - RS 51 PER SH   
EQ,BEPL,Bhansali Eng. Polymers Lt,22/06/2022, , ,21/06/2022, , ,AGM/DIV - RE 1 PER SH    
EQ,TATACOFFEE,Tata Coffee Limited, ,04/06/2022,13/06/2022,02/06/2022, , ,AGM/DIV - RS 2 PER SH    
EQ,GANGOTRI,Gangotri Textiles Limited, ,23/06/2022,29/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,KKCL,Kewal Kiran Clothing Limi,23/05/2022, , ,20/05/2022, , ,INTDIV - RS 5 PER SH     
EQ,RSYSTEMS,R Systems International L, ,16/06/2022,20/06/2022,14/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,TATAINVEST,Tata Inv. Corpn Ltd., ,04/06/2022,10/06/2022,02/06/2022, , ,AGM/DIV - RS PER 55 SH   
EQ,PAGEIND,Page Industries Limited,03/06/2022, , ,02/06/2022, , ,INTERIM DIVIDEND         
EQ,HINDUNILVR,Hindustan Unilever Ltd, ,17/06/2022,23/06/2022,15/06/2022, , ,AGM/DIV - RS 19 PER SH   
EQ,BALAMINES,Balaji Amines Limited, ,23/06/2022,29/06/2022,21/06/2022, , ,AGM/DIV - RS 6 PER SH    
EQ,MOTILALOFS,Motilal Oswal Financial S,27/05/2022, , ,26/05/2022, , ,BUYBACK                  
EQ,CERA,Cera Sanitaryware Limited, ,15/06/2022,22/06/2022,13/06/2022, , ,AGM/DIV-20 SPLDIV-15     
EQ,APCOTEXIND,Apcotex Industries Ltd., ,08/06/2022,13/06/2022,06/06/2022, , ,AGM/DIV - RS 3 PER SH    
EQ,INDIANB,Indian Bank, ,16/06/2022,22/06/2022,14/06/2022, , ,AGM/DIV - RS 6.50 PER SH 
EQ,TANTIACONS,Tantia Constructions Limi, ,25/05/2022,31/05/2022,23/05/2022, , ,ANNUAL GENERAL MEETING   
EQ,JSWENERGY,JSW Energy Limited, ,01/06/2022,03/06/2022,30/05/2022, , ,DIV - RS 2 PER SH        
EQ,SOLARINDS,Solar Industries (I) Ltd, ,31/05/2022,10/06/2022,27/05/2022, , ,AGM/DIV - RS 7.50 PER SH 
EQ,MANAPPURAM,Manappuram Finance Ltd,30/05/2022, , ,27/05/2022, , ,INT DIV - RS 0.75 PER SH 
EQ,BLISSGVS,Bliss GVS Pharma Ltd, ,22/06/2022,28/06/2022,20/06/2022, , ,AGM/DIV - RS 0.50 PER SH 
EQ,INFY,Infosys Limited,01/06/2022, , ,31/05/2022, , ,AGM/DIV - RS 16 PER SH   
EQ,TCIDEVELOP,TCI Developers Limited, ,28/05/2022,02/06/2022,26/05/2022, , ,ANNUAL GENERAL MEETING   
EQ,LALPATHLAB,Dr. Lal Path Labs Ltd.,23/06/2022, , ,22/06/2022, , ,AGM/DIV - RS 6 PER SH    
EQ,KOKUYOCMLN,Kokuyo Camlin Limited, ,25/06/2022,29/06/2022,23/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,LINDEINDIA,BOC India Limited, ,03/06/2022,23/06/2022,01/06/2022, , ,AGM/DIVRS3.5/SPLDIVRS10  
EQ,CASTROLIND,Castrol India Limited, ,04/06/2022,08/06/2022,02/06/2022, , ,DIV - RS 3 PER SH        
EQ,CYIENT,Cyient Limited, ,25/05/2022,03/06/2022,23/05/2022, , ,AGM/DIV - RS 14 PER SH   
EQ,CAPLIPOINT,Caplin Point Lab Ltd.,24/05/2022, , ,23/05/2022, , ,INTDIV - RS 2 PER SH     
EQ,HDFCLIFE,HDFC Life Ins Co Ltd,01/06/2022, , ,31/05/2022, , ,DIV - RS 1.70 PER SH     
EQ,LAURUSLABS,Laurus Labs Limited, ,24/06/2022,30/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
