,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
3029,101169,SBI Magnum Children's Benefit Fund - Savings Plan - REGULAR PLAN - GROWTH,17.7321,INF200K01776,,21-Jan-2009,17.2001,17.9981
3031,101490,Tata Young Citizen Fund [>3 years upto 7 years] Regular Plan,12.899,,,21-Jan-2009,12.641,13.2215
3032,101489,Tata Young Citizen Fund [Upto 3 years] Regular Plan,12.899,,,21-Jan-2009,12.512,13.2215
3033,101491,Tata Young Citizens' Fund -Regular Plan-Growth Option,12.899,INF277K01AJ5,,21-Jan-2009,12.77,13.2215
3035,100678,UTI CCF Saving Plan - Regular Plan,12.7492,,,21-Jan-2009,12.7492,13.0042
3036,102267,UTI CCF Investment Plan - Regular Plan - Growth Option,9.6988,,,21-Jan-2009,9.6988,9.917
3037,102266,UTI CCF Investment Plan - Regular Plan - IDCW,9.6998,,,21-Jan-2009,9.6998,9.918
3040,101314,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Regular Plan,26.9662,INF209K01LB2,,21-Jan-2009,26.4269,27.5729
3041,101313,Aditya Birla Sun Life Nifty 50 Index Fund -REGULAR - IDCW,10.4339,INF209K01LA4,INF209K01LC0,21-Jan-2009,10.2252,10.6687
3043,100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,21.3086,INF090I01890,,21-Jan-2009,21.3086,21.3086
3044,105067,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND - IDCW,21.3086,INF090I01874,INF090I01882,21-Jan-2009,21.3086,21.3086
3046,101525,HDFC Index Fund-NIFTY 50 Plan - Growth Plan,24.4255,INF179K01KZ8,,21-Jan-2009,24.1812,24.4255
3047,101281,HDFC Index Fund-S&P BSE Sensex Plan - Growth Plan,75.8098,INF179K01LA9,,21-Jan-2009,75.0517,75.8098
3049,101349,ICICI Prudential Nifty 50 Index Fund - Cumulative Option,24.8722,INF109K01PI0,,21-Jan-2009,24.8722,25.1209
3051,101202,LIC MF Index Fund-Sensex Advantage-Dividend,6.8723,INF767K01188,INF767K01170,21-Jan-2009,6.8723,5.8332
3052,101203,LIC MF Index Fund-Sensex Advantage-Growth,16.5913,INF767K01196,,21-Jan-2009,16.5913,15.8117
